_id,_start,_end,_type,rating,roles,summary
,54.0,52.0,ACTED_IN,,"[""Simon Bishop""]",
,22.0,52.0,ACTED_IN,,"[""Frank Sachs""]",
,55.0,52.0,DIRECTED,,,
,60.0,56.0,ACTED_IN,,"[""Chris Nielsen""]",
,22.0,56.0,ACTED_IN,,"[""Albert Lewis""]",
,57.0,56.0,ACTED_IN,,"[""Annie Collins-Nielsen""]",
,58.0,56.0,ACTED_IN,,"[""The Tracker""]",
,59.0,56.0,ACTED_IN,,"[""The Face""]",
,61.0,56.0,DIRECTED,,,
,63.0,62.0,ACTED_IN,,"[""Ishmael Chambers""]",
,64.0,62.0,ACTED_IN,,"[""Kazuo Miyamoto""]",
,58.0,62.0,ACTED_IN,,"[""Nels Gudmundsson""]",
,65.0,62.0,ACTED_IN,,"[""Judge Fielding""]",
,66.0,62.0,DIRECTED,,,
,71.0,67.0,ACTED_IN,,"[""Joe Fox""]",
,34.0,67.0,ACTED_IN,,"[""Kathleen Kelly""]",
,54.0,67.0,ACTED_IN,,"[""Frank Navasky""]",
,68.0,67.0,ACTED_IN,,"[""Patricia Eden""]",
,69.0,67.0,ACTED_IN,,"[""Kevin Jackson""]",
,70.0,67.0,ACTED_IN,,"[""George Pappas""]",
,72.0,67.0,DIRECTED,,,
,71.0,73.0,ACTED_IN,,"[""Sam Baldwin""]",
,34.0,73.0,ACTED_IN,,"[""Annie Reed""]",
,74.0,73.0,ACTED_IN,,"[""Suzy""]",
,75.0,73.0,ACTED_IN,,"[""Walter""]",
,76.0,73.0,ACTED_IN,,"[""Greg""]",
,77.0,73.0,ACTED_IN,,"[""Becky""]",
,72.0,73.0,DIRECTED,,,
,71.0,78.0,ACTED_IN,,"[""Joe Banks""]",
,34.0,78.0,ACTED_IN,,"[""DeDe"",""Angelica Graynamore"",""Patricia Graynamore""]",
,80.0,78.0,ACTED_IN,,"[""Baw""]",
,79.0,78.0,DIRECTED,,,
,82.0,81.0,ACTED_IN,,"[""Harry Burns""]",
,34.0,81.0,ACTED_IN,,"[""Sally Albright""]",
,83.0,81.0,ACTED_IN,,"[""Marie""]",
,84.0,81.0,ACTED_IN,,"[""Jess""]",
,27.0,81.0,DIRECTED,,,
,27.0,81.0,PRODUCED,,,
,72.0,81.0,PRODUCED,,,
,72.0,81.0,WROTE,,,
,71.0,85.0,ACTED_IN,,"[""Mr. White""]",
,86.0,85.0,ACTED_IN,,"[""Faye Dolan""]",
,12.0,85.0,ACTED_IN,,"[""Tina""]",
,71.0,85.0,DIRECTED,,,
,1.0,87.0,ACTED_IN,,"[""Shane Falco""]",
,88.0,87.0,ACTED_IN,,"[""Annabelle Farrell""]",
,89.0,87.0,ACTED_IN,,"[""Jimmy McGinty""]",
,90.0,87.0,ACTED_IN,,"[""Clifford Franklin""]",
,91.0,87.0,DIRECTED,,,
,51.0,92.0,ACTED_IN,,"[""Admiral""]",
,93.0,92.0,ACTED_IN,,"[""Dieter Dengler""]",
,94.0,92.0,ACTED_IN,,"[""Squad Leader""]",
,70.0,92.0,ACTED_IN,,"[""Duane""]",
,59.0,92.0,DIRECTED,,,
,60.0,95.0,ACTED_IN,,"[""Armand Goldman""]",
,80.0,95.0,ACTED_IN,,"[""Albert Goldman""]",
,89.0,95.0,ACTED_IN,,"[""Sen. Kevin Keeley""]",
,96.0,95.0,DIRECTED,,,
,98.0,97.0,ACTED_IN,,"[""English Bob""]",
,99.0,97.0,ACTED_IN,,"[""Bill Munny""]",
,89.0,97.0,ACTED_IN,,"[""Little Bill Daggett""]",
,99.0,97.0,DIRECTED,,,
,1.0,100.0,ACTED_IN,,"[""Johnny Mnemonic""]",
,101.0,100.0,ACTED_IN,,"[""Takahashi""]",
,102.0,100.0,ACTED_IN,,"[""Jane""]",
,103.0,100.0,ACTED_IN,,"[""J-Bone""]",
,104.0,100.0,DIRECTED,,,
,71.0,105.0,ACTED_IN,,"[""Zachry"",""Dr. Henry Goose"",""Isaac Sachs"",""Dermot Hoggins""]",
,4.0,105.0,ACTED_IN,,"[""Bill Smoke"",""Haskell Moore"",""Tadeusz Kesselring"",""Nurse Noakes"",""Boardman Mephi"",""Old Georgie""]",
,106.0,105.0,ACTED_IN,,"[""Luisa Rey"",""Jocasta Ayrs"",""Ovid"",""Meronym""]",
,107.0,105.0,ACTED_IN,,"[""Vyvyan Ayrs"",""Captain Molyneux"",""Timothy Cavendish""]",
,108.0,105.0,DIRECTED,,,
,5.0,105.0,DIRECTED,,,
,6.0,105.0,DIRECTED,,,
,109.0,105.0,WROTE,,,
,110.0,105.0,PRODUCED,,,
,71.0,111.0,ACTED_IN,,"[""Dr. Robert Langdon""]",
,112.0,111.0,ACTED_IN,,"[""Sir Leight Teabing""]",
,113.0,111.0,ACTED_IN,,"[""Sophie Neveu""]",
,114.0,111.0,ACTED_IN,,"[""Silas""]",
,115.0,111.0,DIRECTED,,,
,4.0,116.0,ACTED_IN,,"[""V""]",
,117.0,116.0,ACTED_IN,,"[""Evey Hammond""]",
,118.0,116.0,ACTED_IN,,"[""Eric Finch""]",
,119.0,116.0,ACTED_IN,,"[""High Chancellor Adam Sutler""]",
,120.0,116.0,ACTED_IN,,"[""Dascomb""]",
,25.0,116.0,DIRECTED,,,
,5.0,116.0,PRODUCED,,,
,6.0,116.0,PRODUCED,,,
,7.0,116.0,PRODUCED,,,
,5.0,116.0,WROTE,,,
,6.0,116.0,WROTE,,,
,122.0,121.0,ACTED_IN,,"[""Speed Racer""]",
,123.0,121.0,ACTED_IN,,"[""Pops""]",
,124.0,121.0,ACTED_IN,,"[""Mom""]",
,125.0,121.0,ACTED_IN,,"[""Racer X""]",
,126.0,121.0,ACTED_IN,,"[""Trixie""]",
,127.0,121.0,ACTED_IN,,"[""Taejo Togokahn""]",
,120.0,121.0,ACTED_IN,,"[""Cass Jones""]",
,5.0,121.0,DIRECTED,,,
,6.0,121.0,DIRECTED,,,
,5.0,121.0,WROTE,,,
,6.0,121.0,WROTE,,,
,7.0,121.0,PRODUCED,,,
,127.0,128.0,ACTED_IN,,"[""Raizo""]",
,129.0,128.0,ACTED_IN,,"[""Mika Coretti""]",
,64.0,128.0,ACTED_IN,,"[""Takeshi""]",
,120.0,128.0,ACTED_IN,,"[""Ryan Maslow""]",
,25.0,128.0,DIRECTED,,,
,5.0,128.0,PRODUCED,,,
,6.0,128.0,PRODUCED,,,
,7.0,128.0,PRODUCED,,,
,71.0,130.0,ACTED_IN,,"[""Paul Edgecomb""]",
,131.0,130.0,ACTED_IN,,"[""John Coffey""]",
,132.0,130.0,ACTED_IN,,"[""Brutus \""Brutal\"" Howell""]",
,42.0,130.0,ACTED_IN,,"[""Jan Edgecomb""]",
,65.0,130.0,ACTED_IN,,"[""Warden Hal Moores""]",
,133.0,130.0,ACTED_IN,,"[""\""Wild Bill\"" Wharton""]",
,134.0,130.0,ACTED_IN,,"[""Burt Hammersmith""]",
,135.0,130.0,ACTED_IN,,"[""Melinda Moores""]",
,136.0,130.0,DIRECTED,,,
,138.0,137.0,ACTED_IN,,"[""Richard Nixon""]",
,139.0,137.0,ACTED_IN,,"[""David Frost""]",
,19.0,137.0,ACTED_IN,,"[""Jack Brennan""]",
,140.0,137.0,ACTED_IN,,"[""Bob Zelnick""]",
,133.0,137.0,ACTED_IN,,"[""James Reston, Jr.""]",
,115.0,137.0,DIRECTED,,,
,17.0,141.0,ACTED_IN,,"[""Hoffa""]",
,142.0,141.0,ACTED_IN,,"[""Robert \""Bobby\"" Ciaro""]",
,24.0,141.0,ACTED_IN,,"[""Frank Fitzsimmons""]",
,143.0,141.0,ACTED_IN,,"[""Peter \""Pete\"" Connelly""]",
,142.0,141.0,DIRECTED,,,
,71.0,144.0,ACTED_IN,,"[""Jim Lovell""]",
,19.0,144.0,ACTED_IN,,"[""Jack Swigert""]",
,145.0,144.0,ACTED_IN,,"[""Gene Kranz""]",
,146.0,144.0,ACTED_IN,,"[""Fred Haise""]",
,134.0,144.0,ACTED_IN,,"[""Ken Mattingly""]",
,115.0,144.0,DIRECTED,,,
,146.0,147.0,ACTED_IN,,"[""Bill Harding""]",
,53.0,147.0,ACTED_IN,,"[""Dr. Jo Harding""]",
,94.0,147.0,ACTED_IN,,"[""Eddie""]",
,148.0,147.0,ACTED_IN,,"[""Dustin \""Dusty\"" Davis""]",
,149.0,147.0,DIRECTED,,,
,71.0,150.0,ACTED_IN,,"[""Chuck Noland""]",
,53.0,150.0,ACTED_IN,,"[""Kelly Frears""]",
,151.0,150.0,DIRECTED,,,
,17.0,152.0,ACTED_IN,,"[""Randle McMurphy""]",
,142.0,152.0,ACTED_IN,,"[""Martini""]",
,153.0,152.0,DIRECTED,,,
,17.0,154.0,ACTED_IN,,"[""Harry Sanborn""]",
,155.0,154.0,ACTED_IN,,"[""Erica Barry""]",
,1.0,154.0,ACTED_IN,,"[""Julian Mercer""]",
,156.0,154.0,DIRECTED,,,
,156.0,154.0,PRODUCED,,,
,156.0,154.0,WROTE,,,
,60.0,157.0,ACTED_IN,,"[""Andrew Marin""]",
,140.0,157.0,ACTED_IN,,"[""Rupert Burns""]",
,158.0,157.0,DIRECTED,,,
,71.0,159.0,ACTED_IN,,"[""Rep. Charlie Wilson""]",
,160.0,159.0,ACTED_IN,,"[""Joanne Herring""]",
,148.0,159.0,ACTED_IN,,"[""Gust Avrakotos""]",
,96.0,159.0,DIRECTED,,,
,71.0,161.0,ACTED_IN,,"[""Hero Boy"",""Father"",""Conductor"",""Hobo"",""Scrooge"",""Santa Claus""]",
,151.0,161.0,DIRECTED,,,
,71.0,162.0,ACTED_IN,,"[""Jimmy Dugan""]",
,164.0,162.0,ACTED_IN,,"[""Dottie Hinson""]",
,165.0,162.0,ACTED_IN,,"[""Kit Keller""]",
,77.0,162.0,ACTED_IN,,"[""Doris Murphy""]",
,163.0,162.0,ACTED_IN,,"[""\""All the Way\"" Mae Mordabito""]",
,146.0,162.0,ACTED_IN,,"[""Bob Hinson""]",
,166.0,162.0,DIRECTED,,,
,170.0,169.0,FOLLOWS,,,
,168.0,169.0,FOLLOWS,,,
,167.0,168.0,FOLLOWS,,,
,169.0,105.0,REVIEWED,95.0,,An amazing journey
,169.0,87.0,REVIEWED,65.0,,"Silly, but fun"
,170.0,87.0,REVIEWED,100.0,,The coolest football movie ever
,168.0,87.0,REVIEWED,62.0,,Pretty funny at times
,169.0,97.0,REVIEWED,85.0,,"Dark, but compelling"
,169.0,95.0,REVIEWED,45.0,,Slapstick redeemed only by the Robin Williams and Gene Hackman's stellar performances
,169.0,111.0,REVIEWED,68.0,,A solid romp
,170.0,111.0,REVIEWED,65.0,,"Fun, but a little far fetched"
,169.0,37.0,REVIEWED,92.0,,You had me at Jerry
